,Unnamed: 0,Platform,Brand,Category,Product_Name,Price,Reviewer,Review,Review_splitted,Product_Purchase,Ratings,Date_Of_Review,Response,topic,Polarity,Predicted_Polarity
29,29,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,ammaspooja,love all the products and got them all for an amazing deal. super fast delivery! ordered it yesterday morning and got it today! cheers😁,super fast delivery,,5.0,2/14/2020 22:00,no,delivery,1,1
30,30,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,ammaspooja,love all the products and got them all for an amazing deal. super fast delivery! ordered it yesterday morning and got it today! cheers😁,ordered it yesterday morning and got it today,,5.0,2/14/2020 22:00,no,no_topic,0,0
31,31,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,ammaspooja,love all the products and got them all for an amazing deal. super fast delivery! ordered it yesterday morning and got it today! cheers😁,cheers,,5.0,2/14/2020 22:00,no,no_topic,1,0
32,32,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,laopha17,good conditions and delivery fast,good conditions and delivery fast,,5.0,2/25/2020 13:05,no,delivery,1,1
33,33,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fuschialck,"super fast delivery! bought it during flash deal for $48 and surprised to received a jeju travel kit free! thanks so much! didn't know the price includes so many items, thought it was a few as shown on the product page. glad i didn't cancel on deal!",super fast delivery,,5.0,2/5/2020 17:51,no,delivery,1,1
34,34,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fuschialck,"super fast delivery! bought it during flash deal for $48 and surprised to received a jeju travel kit free! thanks so much! didn't know the price includes so many items, thought it was a few as shown on the product page. glad i didn't cancel on deal!",bought it during flash deal for 48 and surprised to received a jesu travel kit free,,5.0,2/5/2020 17:51,no,price,0,1
35,35,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fuschialck,"super fast delivery! bought it during flash deal for $48 and surprised to received a jeju travel kit free! thanks so much! didn't know the price includes so many items, thought it was a few as shown on the product page. glad i didn't cancel on deal!",thanks so much,,5.0,2/5/2020 17:51,no,no_topic,0,1
36,36,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fuschialck,"super fast delivery! bought it during flash deal for $48 and surprised to received a jeju travel kit free! thanks so much! didn't know the price includes so many items, thought it was a few as shown on the product page. glad i didn't cancel on deal!",did not know the price includes so many items thought it was a few as shown on the product page,,5.0,2/5/2020 17:51,no,price,0,0
37,37,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fuschialck,"super fast delivery! bought it during flash deal for $48 and surprised to received a jeju travel kit free! thanks so much! didn't know the price includes so many items, thought it was a few as shown on the product page. glad i didn't cancel on deal!",glad i did not cancel on deal,,5.0,2/5/2020 17:51,no,price,1,1
38,38,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,felinyan,"totally worth it and thank you for the free jeju travel kit. all the products excluding the travel kit and bija cica mask, expires in 2022. recommended.",totally worth it and thank you for the free jesu travel kit,,5.0,2/11/2020 18:44,no,price,1,1
39,39,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,felinyan,"totally worth it and thank you for the free jeju travel kit. all the products excluding the travel kit and bija cica mask, expires in 2022. recommended.",all the products excluding the travel kit and biya cica mask expires in 2022 recommended,,5.0,2/11/2020 18:44,no,quality,0,0
40,40,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,spgal18,very worth it!!! love e products!!!!,very worth it,,5.0,2/5/2020 19:20,no,price,1,1
41,41,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,spgal18,very worth it!!! love e products!!!!,love e products,,5.0,2/5/2020 19:20,no,quality,1,1
42,42,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,ns.shya,surprise box was worth the price. it would have made it even better if we could choose the colour of the lip tint that they included in the brand box.,surprise box was worth the price,,4.0,1/21/2020 21:05,no,price,1,1
43,43,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,ns.shya,surprise box was worth the price. it would have made it even better if we could choose the colour of the lip tint that they included in the brand box.,it would have made it even better if we could choose the colour of the lip tint that they included in the brand box,,4.0,1/21/2020 21:05,no,quality,0,0
44,44,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,jasminecl,the items are neatly bubble-wrapped and packed in a box. very worth the price.,the items are neatly bubble wrapped and packed in a box,,5.0,1/23/2020 15:36,no,delivery,0,0
45,45,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,jasminecl,the items are neatly bubble-wrapped and packed in a box. very worth the price.,very worth the price,,5.0,1/23/2020 15:36,no,price,1,1
46,46,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,rookiewookie,"i love it! fast delivery. pleasant delivery service. prompt communication. great packaging. awesome product, i'm a happy customer! :)) thanks for the freebie samples!",i love it,,5.0,1/9/2020 15:52,no,quality,1,1
47,47,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,rookiewookie,"i love it! fast delivery. pleasant delivery service. prompt communication. great packaging. awesome product, i'm a happy customer! :)) thanks for the freebie samples!",fast delivery,,5.0,1/9/2020 15:52,no,delivery,1,1
48,48,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,rookiewookie,"i love it! fast delivery. pleasant delivery service. prompt communication. great packaging. awesome product, i'm a happy customer! :)) thanks for the freebie samples!",pleasant delivery service,,5.0,1/9/2020 15:52,no,service,1,0
49,49,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,rookiewookie,"i love it! fast delivery. pleasant delivery service. prompt communication. great packaging. awesome product, i'm a happy customer! :)) thanks for the freebie samples!",prompt communication,,5.0,1/9/2020 15:52,no,no_topic,1,1
50,50,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,rookiewookie,"i love it! fast delivery. pleasant delivery service. prompt communication. great packaging. awesome product, i'm a happy customer! :)) thanks for the freebie samples!",great packaging,,5.0,1/9/2020 15:52,no,delivery,1,1
51,51,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,rookiewookie,"i love it! fast delivery. pleasant delivery service. prompt communication. great packaging. awesome product, i'm a happy customer! :)) thanks for the freebie samples!",awesome product I am a happy customer,,5.0,1/9/2020 15:52,no,quality,1,0
52,52,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,rookiewookie,"i love it! fast delivery. pleasant delivery service. prompt communication. great packaging. awesome product, i'm a happy customer! :)) thanks for the freebie samples!",thanks for the freebie samples,,5.0,1/9/2020 15:52,no,price,0,0
53,53,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,justnego,fast delivery. worth the money too!!! there are 8 items in total,fast delivery,,5.0,1/17/2020 5:08,no,delivery,1,1
54,54,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,justnego,fast delivery. worth the money too!!! there are 8 items in total,worth the money too,,5.0,1/17/2020 5:08,no,price,1,1
55,55,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,justnego,fast delivery. worth the money too!!! there are 8 items in total,there are 8 items in total,,5.0,1/17/2020 5:08,no,no_topic,0,0
56,56,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,uhhiitsphilia,items came very quickly and in good condition! very worth it :),items came very quickly and in good condition,,5.0,1/12/2020 15:08,no,delivery,1,1
57,57,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,uhhiitsphilia,items came very quickly and in good condition! very worth it :),very worth it,,5.0,1/12/2020 15:08,no,price,1,1
58,58,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,missyjae,"very worth, excited to try the products. in good condition.",very worth excited to try the products,,5.0,1/8/2020 22:18,no,price,1,1
59,59,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,missyjae,"very worth, excited to try the products. in good condition.",in good condition,,5.0,1/8/2020 22:18,no,delivery,1,1
60,60,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,dyanchid,"items came wrapped in bubble wrap, but one of the box tore in shipping. many items and really worth the money!!",items came wrapped in bubble wrap but one of the box tore in shipping,,5.0,1/8/2020 15:53,no,delivery,0,0
61,61,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,dyanchid,"items came wrapped in bubble wrap, but one of the box tore in shipping. many items and really worth the money!!",many items and really worth the money,,5.0,1/8/2020 15:53,no,price,1,1
62,62,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,edaka22,great beauty box from innisfree. definitely worth the $48 paid as the retail value of all the items is double. i like most of the items included inside.,great beauty box from innisfree,,5.0,12/28/2019 12:59,no,quality,1,1
63,63,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,edaka22,great beauty box from innisfree. definitely worth the $48 paid as the retail value of all the items is double. i like most of the items included inside.,definitely worth the 48 paid as the retail value of all the items is double,,5.0,12/28/2019 12:59,no,price,0,1
64,64,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,edaka22,great beauty box from innisfree. definitely worth the $48 paid as the retail value of all the items is double. i like most of the items included inside.,i like most of the items included inside,,5.0,12/28/2019 12:59,no,quality,1,1
65,65,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,vighnalisa,love it!!! super fast delivery! managed to get it in time for new year!,love it,,5.0,12/31/2019 10:50,no,quality,1,1
66,66,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,vighnalisa,love it!!! super fast delivery! managed to get it in time for new year!,super fast delivery,,5.0,12/31/2019 10:50,no,delivery,1,1
67,67,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,vighnalisa,love it!!! super fast delivery! managed to get it in time for new year!,managed to get it in time for new year,,5.0,12/31/2019 10:50,no,no_topic,0,0
68,68,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,randyeo,average,average,,4.0,1/9/2020 8:29,no,no_topic,0,0
69,69,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,jasanne12,"delivery was fast. received well, definitely worth the money paid!",delivery was fast,,5.0,12/31/2019 10:27,no,delivery,1,1
70,70,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,jasanne12,"delivery was fast. received well, definitely worth the money paid!",received well definitely worth the money paid,,5.0,12/31/2019 10:27,no,price,1,1
71,71,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,laiyiling97,really worth it as items are all useful. delivery took 2 working days.,really worth it as items are all useful,,5.0,12/27/2019 15:08,no,price,1,1
72,72,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,laiyiling97,really worth it as items are all useful. delivery took 2 working days.,delivery took 2 working days,,5.0,12/27/2019 15:08,no,delivery,0,0
73,73,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,kellysiah1999,"wow so many items!! love love love love love it 😍😍😍 thanks innisfree! delivery was good, called sf express to arrange redelivery and surprisingly everything went smoothly. received about a week after placing order on 12.12",wow so many items,,5.0,12/19/2019 21:01,no,no_topic,1,0
74,74,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,kellysiah1999,"wow so many items!! love love love love love it 😍😍😍 thanks innisfree! delivery was good, called sf express to arrange redelivery and surprisingly everything went smoothly. received about a week after placing order on 12.12",love love love love love it thanks innisfree,,5.0,12/19/2019 21:01,no,quality,1,1
75,75,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,kellysiah1999,"wow so many items!! love love love love love it 😍😍😍 thanks innisfree! delivery was good, called sf express to arrange redelivery and surprisingly everything went smoothly. received about a week after placing order on 12.12",delivery was good called sf express to arrange redeliver and surprisingly everything went smoothly,,5.0,12/19/2019 21:01,no,delivery,1,1
76,76,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,kellysiah1999,"wow so many items!! love love love love love it 😍😍😍 thanks innisfree! delivery was good, called sf express to arrange redelivery and surprisingly everything went smoothly. received about a week after placing order on 12.12",received about a week after placing order on 12 12,,5.0,12/19/2019 21:01,no,delivery,0,0
77,77,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,pokkagt,item was received in good condition. can't wait to test it out and see if it works.,item was received in good condition,,5.0,12/24/2019 0:14,no,delivery,1,1
78,78,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,pokkagt,item was received in good condition. can't wait to test it out and see if it works.,can not wait to test it out and see if it works,,5.0,12/24/2019 0:14,no,quality,0,0
79,79,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,extraweirdinary,got my stuff within 5 days of order!!!! yayerssss its really worth cause the pomegranate cleanser alone is already 20+ and the hair mask is about 20 so yes super worth!!!,got my stuff within 5 days of order,,5.0,12/18/2019 14:17,no,no_topic,0,0
80,80,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,extraweirdinary,got my stuff within 5 days of order!!!! yayerssss its really worth cause the pomegranate cleanser alone is already 20+ and the hair mask is about 20 so yes super worth!!!,layers its really worth cause the pomegranate cleanser alone is already 20 and the hair mask is about 20 so yes super worth,,5.0,12/18/2019 14:17,no,price,1,1
81,81,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,aarila,the bundle is quite worthy as it consists of a good range of product. delivery is very prompt too! thks...,the bundle is quite worthy as it consists of a good range of product,,5.0,12/13/2019 13:28,no,quality,1,1
82,82,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,aarila,the bundle is quite worthy as it consists of a good range of product. delivery is very prompt too! thks...,delivery is very prompt too,,5.0,12/13/2019 13:28,no,delivery,1,1
83,83,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,aarila,the bundle is quite worthy as it consists of a good range of product. delivery is very prompt too! thks...,this,,5.0,12/13/2019 13:28,no,no_topic,0,0
84,84,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,magicyx,"fast delivery(2days), products are in good shape, expiry date is 2022. love the lipstick >.< there are 2 mask too (but i didn't put it in picture cuz i gave it to my mum)",fast delivery days products are in good shape expiry date is 2022 love the lipstick there are 2 mask too but i did not put it in picture cut i gave it to my mum,,5.0,12/14/2019 17:51,no,quality,0,1
85,85,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,electricshock,good deal and fast delivery,good deal and fast delivery,,5.0,12/15/2019 12:57,no,delivery,1,1
86,86,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,lyntai,bought twice. expiry 2020. worth the price,bought twice,,5.0,12/22/2019 9:15,no,no_topic,0,0
87,87,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,lyntai,bought twice. expiry 2020. worth the price,expiry 2020 worth the price,,5.0,12/22/2019 9:15,no,price,1,1
88,88,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,lyntai,bought twice. expiry 2020. worth the price,bought twice,,5.0,12/22/2019 9:15,no,no_topic,0,0
89,89,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,lyntai,bought twice. expiry 2020. worth the price,expiry 2020 worth the price,,5.0,12/22/2019 9:15,no,price,1,1
90,90,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fourlayerz,"worth it ! excited to try these new products, there are 7 items in this $48 set. awesome surprise box. i'll buy more in the future. 😁😁😁",worth it,,5.0,12/13/2019 20:14,no,price,1,1
91,91,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fourlayerz,"worth it ! excited to try these new products, there are 7 items in this $48 set. awesome surprise box. i'll buy more in the future. 😁😁😁",excited to try these new products there are 7 items in this 48 set,,5.0,12/13/2019 20:14,no,no_topic,0,0
92,92,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fourlayerz,"worth it ! excited to try these new products, there are 7 items in this $48 set. awesome surprise box. i'll buy more in the future. 😁😁😁",awesome surprise box,,5.0,12/13/2019 20:14,no,quality,1,0
93,93,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fourlayerz,"worth it ! excited to try these new products, there are 7 items in this $48 set. awesome surprise box. i'll buy more in the future. 😁😁😁",I will buy more in the future,,5.0,12/13/2019 20:14,no,quality,0,0
94,94,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,elaineshen53,fast delivery within a day... bundle deal with loads of saving. will grab again definitely if avail! awesomeness,fast delivery within a day bundle deal with loads of saving,,5.0,12/13/2019 21:42,no,delivery,0,1
95,95,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,elaineshen53,fast delivery within a day... bundle deal with loads of saving. will grab again definitely if avail! awesomeness,will grab again definitely if avail,,5.0,12/13/2019 21:42,no,no_topic,0,0
96,96,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,elaineshen53,fast delivery within a day... bundle deal with loads of saving. will grab again definitely if avail! awesomeness,awesomeness,,5.0,12/13/2019 21:42,no,quality,1,0
97,97,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,petrinasim,good buy! spent over $80 free bag (in pic),good buy,,5.0,12/16/2019 21:43,no,quality,1,1
98,98,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,petrinasim,good buy! spent over $80 free bag (in pic),spent over 80 free bag in pic,,5.0,12/16/2019 21:43,no,price,1,1
99,99,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,kairinu,awesome and value for money!tks!,awesome and value for money tvs,,5.0,12/14/2019 9:33,no,price,1,0
100,100,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,chestyyyyyy,"love this innisfree mystery box. gave it to my gf, she love it very much. asked her is it worth it, she said hell ya. all should get. another thing is that maybe the mystery box packaging should be nicer.",love this innisfree mystery box,,5.0,12/14/2019 16:17,no,quality,0,1
101,101,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,chestyyyyyy,"love this innisfree mystery box. gave it to my gf, she love it very much. asked her is it worth it, she said hell ya. all should get. another thing is that maybe the mystery box packaging should be nicer.",gave it to my of she love it very much,,5.0,12/14/2019 16:17,no,quality,0,1
102,102,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,chestyyyyyy,"love this innisfree mystery box. gave it to my gf, she love it very much. asked her is it worth it, she said hell ya. all should get. another thing is that maybe the mystery box packaging should be nicer.",asked her is it worth it she said hell ya,,5.0,12/14/2019 16:17,no,price,0,1
103,103,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,chestyyyyyy,"love this innisfree mystery box. gave it to my gf, she love it very much. asked her is it worth it, she said hell ya. all should get. another thing is that maybe the mystery box packaging should be nicer.",all should get,,5.0,12/14/2019 16:17,no,no_topic,0,0
104,104,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,chestyyyyyy,"love this innisfree mystery box. gave it to my gf, she love it very much. asked her is it worth it, she said hell ya. all should get. another thing is that maybe the mystery box packaging should be nicer.",another thing is that maybe the mystery box packaging should be nicer,,5.0,12/14/2019 16:17,no,delivery,0,0
105,105,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,enyasmum,super great deal!! so much better than buying from retail!! thank you,super great deal,,5.0,12/12/2019 22:43,no,price,1,1
106,106,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,enyasmum,super great deal!! so much better than buying from retail!! thank you,so much better than buying from retail,,5.0,12/12/2019 22:43,no,no_topic,1,1
107,107,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,enyasmum,super great deal!! so much better than buying from retail!! thank you,thank you,,5.0,12/12/2019 22:43,no,no_topic,0,0
108,108,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,kxkxyy,super worth!,super worth,,5.0,12/18/2019 19:53,no,price,1,1
109,109,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,kylawong09,"order received in good condition! there are 2 sheet masks hidden away in the back. 1st time getting the brand box, worth it!",order received in good condition,,5.0,12/7/2019 13:34,no,delivery,1,1
110,110,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,kylawong09,"order received in good condition! there are 2 sheet masks hidden away in the back. 1st time getting the brand box, worth it!",there are 2 sheet masks hidden away in the back,,5.0,12/7/2019 13:34,no,quality,0,0
111,111,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,kylawong09,"order received in good condition! there are 2 sheet masks hidden away in the back. 1st time getting the brand box, worth it!",st time getting the brand box worth it,,5.0,12/7/2019 13:34,no,price,1,0
112,112,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,jianyang9010,fast delivery nice!,fast delivery nice,,5.0,12/19/2019 16:18,no,delivery,1,1
113,113,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fangyi.odelia,love the products. got it during 12.12 and i received it the next day! fast delivery!,love the products,,5.0,12/14/2019 12:59,no,quality,1,1
114,114,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fangyi.odelia,love the products. got it during 12.12 and i received it the next day! fast delivery!,got it during 12 12 and i received it the next day,,5.0,12/14/2019 12:59,no,delivery,0,0
115,115,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fangyi.odelia,love the products. got it during 12.12 and i received it the next day! fast delivery!,fast delivery,,5.0,12/14/2019 12:59,no,delivery,1,1
116,116,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,hueyyiiiii,items are really value for money!,items are really value for money,,5.0,12/14/2019 16:14,no,price,0,0
117,117,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,ravenchad,nice package and deal during black friday sales . worth it. but delivery takes so long.,nice package and deal during black friday sales,,5.0,12/10/2019 22:31,no,price,1,1
