,Unnamed:_0,Platform,Brand,Category,Product_Name,Price,Reviewer,Review,Review_splitted,Product_Purchase,Ratings,Date_Of_Review,Response,topic
10,10,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,nexxcexxa,received all in good condition. worth the price. but just wondering how come flash deal more ex than normal times. #shopeehaul,shopeehaul,,5.0,2020-02-26 15:20:00,no,no_topic
11,11,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,eternaldays,quite worth it for $48. good for those who's keen on trying a new set of skincare regime. also comes with sleeping hair mask,quite worth it for 48,,5.0,2020-02-19 22:24:00,no,price
12,12,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,eternaldays,quite worth it for $48. good for those who's keen on trying a new set of skincare regime. also comes with sleeping hair mask,good for those who is keen on trying a new set of skincare regime,,5.0,2020-02-19 22:24:00,no,quality
13,13,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,eternaldays,quite worth it for $48. good for those who's keen on trying a new set of skincare regime. also comes with sleeping hair mask,also comes with sleeping hair mask,,5.0,2020-02-19 22:24:00,no,quality
14,14,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,agnesn12,fast delivery and worth the price. long expiry date (2022).,fast delivery and worth the price,,5.0,2020-03-08 11:34:00,no,price
15,15,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,agnesn12,fast delivery and worth the price. long expiry date (2022).,long expiry date 2022,,5.0,2020-03-08 11:34:00,no,quality
16,16,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,cyndiyap,the most worth brand box i've bought on shopee!!! love all the products. super useful,the most worth brand box I have bought on hope,,5.0,2020-02-16 02:16:00,no,price
17,17,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,cyndiyap,the most worth brand box i've bought on shopee!!! love all the products. super useful,love all the products,,5.0,2020-02-16 02:16:00,no,quality
18,18,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,cyndiyap,the most worth brand box i've bought on shopee!!! love all the products. super useful,super useful,,5.0,2020-02-16 02:16:00,no,quality
19,19,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,12bidalot,item received in good condition. bought it during flash sale.,item received in good condition,,5.0,2020-02-25 20:23:00,no,delivery
20,20,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,12bidalot,item received in good condition. bought it during flash sale.,bought it during flash sale,,5.0,2020-02-25 20:23:00,no,price
21,21,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,zabreadbro,bought it during flashsale. super worth it the price. have not start using yet.,bought it during flashsale,,5.0,2020-02-18 14:46:00,no,no_topic
22,22,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,zabreadbro,bought it during flashsale. super worth it the price. have not start using yet.,super worth it the price,,5.0,2020-02-18 14:46:00,no,price
23,23,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,zabreadbro,bought it during flashsale. super worth it the price. have not start using yet.,have not start using yet,,5.0,2020-02-18 14:46:00,no,quality
24,24,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,12bidalot,item received in good condition. bought it during flash sale.,item received in good condition,,5.0,2020-02-14 15:37:00,no,delivery
25,25,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,12bidalot,item received in good condition. bought it during flash sale.,bought it during flash sale,,5.0,2020-02-14 15:37:00,no,price
26,26,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,jaminachua,"items included in the brand box are well worth the price paid.
great deal for trying out their new products but don't wanna commit yet.",items included in the brand box are well worth the price paid,,5.0,2020-02-11 19:28:00,no,price
27,27,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,jaminachua,"items included in the brand box are well worth the price paid.
great deal for trying out their new products but don't wanna commit yet.",great deal for trying out their new products but do not wan na commit yet,,5.0,2020-02-11 19:28:00,no,price
28,28,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,ammaspooja,love all the products and got them all for an amazing deal. super fast delivery! ordered it yesterday morning and got it today! cheers😁,love all the products and got them all for an amazing deal,,5.0,2020-02-14 22:00:00,no,price
29,29,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,ammaspooja,love all the products and got them all for an amazing deal. super fast delivery! ordered it yesterday morning and got it today! cheers😁,super fast delivery,,5.0,2020-02-14 22:00:00,no,delivery
30,30,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,ammaspooja,love all the products and got them all for an amazing deal. super fast delivery! ordered it yesterday morning and got it today! cheers😁,ordered it yesterday morning and got it today,,5.0,2020-02-14 22:00:00,no,no_topic
31,31,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,ammaspooja,love all the products and got them all for an amazing deal. super fast delivery! ordered it yesterday morning and got it today! cheers😁,cheers,,5.0,2020-02-14 22:00:00,no,no_topic
32,32,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,laopha17,good conditions and delivery fast,good conditions and delivery fast,,5.0,2020-02-25 13:05:00,no,delivery
33,33,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fuschialck,"super fast delivery! bought it during flash deal for $48 and surprised to received a jeju travel kit free! thanks so much! didn't know the price includes so many items, thought it was a few as shown on the product page. glad i didn't cancel on deal!",super fast delivery,,5.0,2020-02-05 17:51:00,no,delivery
34,34,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fuschialck,"super fast delivery! bought it during flash deal for $48 and surprised to received a jeju travel kit free! thanks so much! didn't know the price includes so many items, thought it was a few as shown on the product page. glad i didn't cancel on deal!",bought it during flash deal for 48 and surprised to received a jesu travel kit free,,5.0,2020-02-05 17:51:00,no,price
35,35,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fuschialck,"super fast delivery! bought it during flash deal for $48 and surprised to received a jeju travel kit free! thanks so much! didn't know the price includes so many items, thought it was a few as shown on the product page. glad i didn't cancel on deal!",thanks so much,,5.0,2020-02-05 17:51:00,no,no_topic
36,36,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fuschialck,"super fast delivery! bought it during flash deal for $48 and surprised to received a jeju travel kit free! thanks so much! didn't know the price includes so many items, thought it was a few as shown on the product page. glad i didn't cancel on deal!",did not know the price includes so many items thought it was a few as shown on the product page,,5.0,2020-02-05 17:51:00,no,price
37,37,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fuschialck,"super fast delivery! bought it during flash deal for $48 and surprised to received a jeju travel kit free! thanks so much! didn't know the price includes so many items, thought it was a few as shown on the product page. glad i didn't cancel on deal!",glad i did not cancel on deal,,5.0,2020-02-05 17:51:00,no,price
38,38,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,felinyan,"totally worth it and thank you for the free jeju travel kit. all the products excluding the travel kit and bija cica mask, expires in 2022. recommended.",totally worth it and thank you for the free jesu travel kit,,5.0,2020-02-11 18:44:00,no,price
39,39,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,felinyan,"totally worth it and thank you for the free jeju travel kit. all the products excluding the travel kit and bija cica mask, expires in 2022. recommended.",all the products excluding the travel kit and biya cica mask expires in 2022 recommended,,5.0,2020-02-11 18:44:00,no,quality
40,40,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,spgal18,very worth it!!! love e products!!!!,very worth it,,5.0,2020-02-05 19:20:00,no,price
41,41,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,spgal18,very worth it!!! love e products!!!!,love e products,,5.0,2020-02-05 19:20:00,no,quality
42,42,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,ns.shya,surprise box was worth the price. it would have made it even better if we could choose the colour of the lip tint that they included in the brand box.,surprise box was worth the price,,4.0,2020-01-21 21:05:00,no,price
43,43,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,ns.shya,surprise box was worth the price. it would have made it even better if we could choose the colour of the lip tint that they included in the brand box.,it would have made it even better if we could choose the colour of the lip tint that they included in the brand box,,4.0,2020-01-21 21:05:00,no,quality
44,44,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,jasminecl,the items are neatly bubble-wrapped and packed in a box. very worth the price.,the items are neatly bubble wrapped and packed in a box,,5.0,2020-01-23 15:36:00,no,delivery
45,45,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,jasminecl,the items are neatly bubble-wrapped and packed in a box. very worth the price.,very worth the price,,5.0,2020-01-23 15:36:00,no,price
46,46,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,rookiewookie,"i love it! fast delivery. pleasant delivery service. prompt communication. great packaging. awesome product, i'm a happy customer! :)) thanks for the freebie samples!",i love it,,5.0,2020-01-09 15:52:00,no,quality
47,47,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,rookiewookie,"i love it! fast delivery. pleasant delivery service. prompt communication. great packaging. awesome product, i'm a happy customer! :)) thanks for the freebie samples!",fast delivery,,5.0,2020-01-09 15:52:00,no,delivery
48,48,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,rookiewookie,"i love it! fast delivery. pleasant delivery service. prompt communication. great packaging. awesome product, i'm a happy customer! :)) thanks for the freebie samples!",pleasant delivery service,,5.0,2020-01-09 15:52:00,no,service
49,49,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,rookiewookie,"i love it! fast delivery. pleasant delivery service. prompt communication. great packaging. awesome product, i'm a happy customer! :)) thanks for the freebie samples!",prompt communication,,5.0,2020-01-09 15:52:00,no,no_topic
50,50,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,rookiewookie,"i love it! fast delivery. pleasant delivery service. prompt communication. great packaging. awesome product, i'm a happy customer! :)) thanks for the freebie samples!",great packaging,,5.0,2020-01-09 15:52:00,no,delivery
51,51,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,rookiewookie,"i love it! fast delivery. pleasant delivery service. prompt communication. great packaging. awesome product, i'm a happy customer! :)) thanks for the freebie samples!",awesome product I am a happy customer,,5.0,2020-01-09 15:52:00,no,quality
52,52,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,rookiewookie,"i love it! fast delivery. pleasant delivery service. prompt communication. great packaging. awesome product, i'm a happy customer! :)) thanks for the freebie samples!",thanks for the freebie samples,,5.0,2020-01-09 15:52:00,no,price
53,53,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,justnego,fast delivery. worth the money too!!! there are 8 items in total,fast delivery,,5.0,2020-01-17 05:08:00,no,delivery
54,54,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,justnego,fast delivery. worth the money too!!! there are 8 items in total,worth the money too,,5.0,2020-01-17 05:08:00,no,price
55,55,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,justnego,fast delivery. worth the money too!!! there are 8 items in total,there are 8 items in total,,5.0,2020-01-17 05:08:00,no,no_topic
56,56,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,uhhiitsphilia,items came very quickly and in good condition! very worth it :),items came very quickly and in good condition,,5.0,2020-01-12 15:08:00,no,delivery
57,57,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,uhhiitsphilia,items came very quickly and in good condition! very worth it :),very worth it,,5.0,2020-01-12 15:08:00,no,price
58,58,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,missyjae,"very worth, excited to try the products. in good condition.",very worth excited to try the products,,5.0,2020-01-08 22:18:00,no,price
59,59,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,missyjae,"very worth, excited to try the products. in good condition.",in good condition,,5.0,2020-01-08 22:18:00,no,delivery
60,60,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,dyanchid,"items came wrapped in bubble wrap, but one of the box tore in shipping. many items and really worth the money!!",items came wrapped in bubble wrap but one of the box tore in shipping,,5.0,2020-01-08 15:53:00,no,delivery
61,61,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,dyanchid,"items came wrapped in bubble wrap, but one of the box tore in shipping. many items and really worth the money!!",many items and really worth the money,,5.0,2020-01-08 15:53:00,no,price
62,62,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,edaka22,great beauty box from innisfree. definitely worth the $48 paid as the retail value of all the items is double. i like most of the items included inside.,great beauty box from innisfree,,5.0,2019-12-28 12:59:00,no,quality
63,63,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,edaka22,great beauty box from innisfree. definitely worth the $48 paid as the retail value of all the items is double. i like most of the items included inside.,definitely worth the 48 paid as the retail value of all the items is double,,5.0,2019-12-28 12:59:00,no,price
64,64,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,edaka22,great beauty box from innisfree. definitely worth the $48 paid as the retail value of all the items is double. i like most of the items included inside.,i like most of the items included inside,,5.0,2019-12-28 12:59:00,no,quality
65,65,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,vighnalisa,love it!!! super fast delivery! managed to get it in time for new year!,love it,,5.0,2019-12-31 10:50:00,no,quality
66,66,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,vighnalisa,love it!!! super fast delivery! managed to get it in time for new year!,super fast delivery,,5.0,2019-12-31 10:50:00,no,delivery
67,67,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,vighnalisa,love it!!! super fast delivery! managed to get it in time for new year!,managed to get it in time for new year,,5.0,2019-12-31 10:50:00,no,no_topic
68,68,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,randyeo,average,average,,4.0,2020-01-09 08:29:00,no,no_topic
69,69,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,jasanne12,"delivery was fast. received well, definitely worth the money paid!",delivery was fast,,5.0,2019-12-31 10:27:00,no,delivery
70,70,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,jasanne12,"delivery was fast. received well, definitely worth the money paid!",received well definitely worth the money paid,,5.0,2019-12-31 10:27:00,no,price
71,71,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,laiyiling97,really worth it as items are all useful. delivery took 2 working days.,really worth it as items are all useful,,5.0,2019-12-27 15:08:00,no,price
72,72,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,laiyiling97,really worth it as items are all useful. delivery took 2 working days.,delivery took 2 working days,,5.0,2019-12-27 15:08:00,no,delivery
73,73,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,kellysiah1999,"wow so many items!! love love love love love it 😍😍😍 thanks innisfree! delivery was good, called sf express to arrange redelivery and surprisingly everything went smoothly. received about a week after placing order on 12.12",wow so many items,,5.0,2019-12-19 21:01:00,no,no_topic
74,74,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,kellysiah1999,"wow so many items!! love love love love love it 😍😍😍 thanks innisfree! delivery was good, called sf express to arrange redelivery and surprisingly everything went smoothly. received about a week after placing order on 12.12",love love love love love it thanks innisfree,,5.0,2019-12-19 21:01:00,no,quality
75,75,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,kellysiah1999,"wow so many items!! love love love love love it 😍😍😍 thanks innisfree! delivery was good, called sf express to arrange redelivery and surprisingly everything went smoothly. received about a week after placing order on 12.12",delivery was good called sf express to arrange redeliver and surprisingly everything went smoothly,,5.0,2019-12-19 21:01:00,no,delivery
76,76,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,kellysiah1999,"wow so many items!! love love love love love it 😍😍😍 thanks innisfree! delivery was good, called sf express to arrange redelivery and surprisingly everything went smoothly. received about a week after placing order on 12.12",received about a week after placing order on 12 12,,5.0,2019-12-19 21:01:00,no,delivery
77,77,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,pokkagt,item was received in good condition. can't wait to test it out and see if it works.,item was received in good condition,,5.0,2019-12-24 00:14:00,no,delivery
78,78,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,pokkagt,item was received in good condition. can't wait to test it out and see if it works.,can not wait to test it out and see if it works,,5.0,2019-12-24 00:14:00,no,quality
79,79,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,extraweirdinary,got my stuff within 5 days of order!!!! yayerssss its really worth cause the pomegranate cleanser alone is already 20+ and the hair mask is about 20 so yes super worth!!!,got my stuff within 5 days of order,,5.0,2019-12-18 14:17:00,no,no_topic
80,80,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,extraweirdinary,got my stuff within 5 days of order!!!! yayerssss its really worth cause the pomegranate cleanser alone is already 20+ and the hair mask is about 20 so yes super worth!!!,layers its really worth cause the pomegranate cleanser alone is already 20 and the hair mask is about 20 so yes super worth,,5.0,2019-12-18 14:17:00,no,price
81,81,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,aarila,the bundle is quite worthy as it consists of a good range of product. delivery is very prompt too! thks...,the bundle is quite worthy as it consists of a good range of product,,5.0,2019-12-13 13:28:00,no,quality
82,82,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,aarila,the bundle is quite worthy as it consists of a good range of product. delivery is very prompt too! thks...,delivery is very prompt too,,5.0,2019-12-13 13:28:00,no,delivery
83,83,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,aarila,the bundle is quite worthy as it consists of a good range of product. delivery is very prompt too! thks...,this,,5.0,2019-12-13 13:28:00,no,no_topic
84,84,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,magicyx,"fast delivery(2days), products are in good shape, expiry date is 2022. love the lipstick >.< there are 2 mask too (but i didn't put it in picture cuz i gave it to my mum)",fast delivery days products are in good shape expiry date is 2022 love the lipstick there are 2 mask too but i did not put it in picture cut i gave it to my mum,,5.0,2019-12-14 17:51:00,no,quality
85,85,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,electricshock,good deal and fast delivery,good deal and fast delivery,,5.0,2019-12-15 12:57:00,no,delivery
86,86,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,lyntai,bought twice. expiry 2020. worth the price,bought twice,,5.0,2019-12-22 09:15:00,no,no_topic
87,87,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,lyntai,bought twice. expiry 2020. worth the price,expiry 2020 worth the price,,5.0,2019-12-22 09:15:00,no,price
88,88,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,lyntai,bought twice. expiry 2020. worth the price,bought twice,,5.0,2019-12-22 09:15:00,no,no_topic
89,89,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,lyntai,bought twice. expiry 2020. worth the price,expiry 2020 worth the price,,5.0,2019-12-22 09:15:00,no,price
90,90,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fourlayerz,"worth it ! excited to try these new products, there are 7 items in this $48 set. awesome surprise box. i'll buy more in the future. 😁😁😁",worth it,,5.0,2019-12-13 20:14:00,no,price
91,91,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fourlayerz,"worth it ! excited to try these new products, there are 7 items in this $48 set. awesome surprise box. i'll buy more in the future. 😁😁😁",excited to try these new products there are 7 items in this 48 set,,5.0,2019-12-13 20:14:00,no,no_topic
92,92,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fourlayerz,"worth it ! excited to try these new products, there are 7 items in this $48 set. awesome surprise box. i'll buy more in the future. 😁😁😁",awesome surprise box,,5.0,2019-12-13 20:14:00,no,quality
93,93,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fourlayerz,"worth it ! excited to try these new products, there are 7 items in this $48 set. awesome surprise box. i'll buy more in the future. 😁😁😁",I will buy more in the future,,5.0,2019-12-13 20:14:00,no,quality
94,94,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,elaineshen53,fast delivery within a day... bundle deal with loads of saving. will grab again definitely if avail! awesomeness,fast delivery within a day bundle deal with loads of saving,,5.0,2019-12-13 21:42:00,no,delivery
95,95,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,elaineshen53,fast delivery within a day... bundle deal with loads of saving. will grab again definitely if avail! awesomeness,will grab again definitely if avail,,5.0,2019-12-13 21:42:00,no,no_topic
96,96,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,elaineshen53,fast delivery within a day... bundle deal with loads of saving. will grab again definitely if avail! awesomeness,awesomeness,,5.0,2019-12-13 21:42:00,no,quality
97,97,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,petrinasim,good buy! spent over $80 free bag (in pic),good buy,,5.0,2019-12-16 21:43:00,no,quality
98,98,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,petrinasim,good buy! spent over $80 free bag (in pic),spent over 80 free bag in pic,,5.0,2019-12-16 21:43:00,no,price
99,99,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,kairinu,awesome and value for money!tks!,awesome and value for money tvs,,5.0,2019-12-14 09:33:00,no,price
100,100,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,chestyyyyyy,"love this innisfree mystery box. gave it to my gf, she love it very much. asked her is it worth it, she said hell ya. all should get. another thing is that maybe the mystery box packaging should be nicer.",love this innisfree mystery box,,5.0,2019-12-14 16:17:00,no,quality
101,101,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,chestyyyyyy,"love this innisfree mystery box. gave it to my gf, she love it very much. asked her is it worth it, she said hell ya. all should get. another thing is that maybe the mystery box packaging should be nicer.",gave it to my of she love it very much,,5.0,2019-12-14 16:17:00,no,quality
102,102,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,chestyyyyyy,"love this innisfree mystery box. gave it to my gf, she love it very much. asked her is it worth it, she said hell ya. all should get. another thing is that maybe the mystery box packaging should be nicer.",asked her is it worth it she said hell ya,,5.0,2019-12-14 16:17:00,no,price
103,103,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,chestyyyyyy,"love this innisfree mystery box. gave it to my gf, she love it very much. asked her is it worth it, she said hell ya. all should get. another thing is that maybe the mystery box packaging should be nicer.",all should get,,5.0,2019-12-14 16:17:00,no,no_topic
104,104,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,chestyyyyyy,"love this innisfree mystery box. gave it to my gf, she love it very much. asked her is it worth it, she said hell ya. all should get. another thing is that maybe the mystery box packaging should be nicer.",another thing is that maybe the mystery box packaging should be nicer,,5.0,2019-12-14 16:17:00,no,delivery
105,105,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,enyasmum,super great deal!! so much better than buying from retail!! thank you,super great deal,,5.0,2019-12-12 22:43:00,no,price
106,106,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,enyasmum,super great deal!! so much better than buying from retail!! thank you,so much better than buying from retail,,5.0,2019-12-12 22:43:00,no,no_topic
107,107,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,enyasmum,super great deal!! so much better than buying from retail!! thank you,thank you,,5.0,2019-12-12 22:43:00,no,no_topic
108,108,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,kxkxyy,super worth!,super worth,,5.0,2019-12-18 19:53:00,no,price
109,109,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,kylawong09,"order received in good condition! there are 2 sheet masks hidden away in the back. 1st time getting the brand box, worth it!",order received in good condition,,5.0,2019-12-07 13:34:00,no,delivery
110,110,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,kylawong09,"order received in good condition! there are 2 sheet masks hidden away in the back. 1st time getting the brand box, worth it!",there are 2 sheet masks hidden away in the back,,5.0,2019-12-07 13:34:00,no,quality
111,111,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,kylawong09,"order received in good condition! there are 2 sheet masks hidden away in the back. 1st time getting the brand box, worth it!",st time getting the brand box worth it,,5.0,2019-12-07 13:34:00,no,price
112,112,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,jianyang9010,fast delivery nice!,fast delivery nice,,5.0,2019-12-19 16:18:00,no,delivery
113,113,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fangyi.odelia,love the products. got it during 12.12 and i received it the next day! fast delivery!,love the products,,5.0,2019-12-14 12:59:00,no,quality
114,114,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fangyi.odelia,love the products. got it during 12.12 and i received it the next day! fast delivery!,got it during 12 12 and i received it the next day,,5.0,2019-12-14 12:59:00,no,delivery
115,115,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fangyi.odelia,love the products. got it during 12.12 and i received it the next day! fast delivery!,fast delivery,,5.0,2019-12-14 12:59:00,no,delivery
116,116,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,hueyyiiiii,items are really value for money!,items are really value for money,,5.0,2019-12-14 16:14:00,no,price
117,117,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,ravenchad,nice package and deal during black friday sales . worth it. but delivery takes so long.,nice package and deal during black friday sales,,5.0,2019-12-10 22:31:00,no,price
118,118,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,ravenchad,nice package and deal during black friday sales . worth it. but delivery takes so long.,worth it,,5.0,2019-12-10 22:31:00,no,price
119,119,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,ravenchad,nice package and deal during black friday sales . worth it. but delivery takes so long.,but delivery takes so long,,5.0,2019-12-10 22:31:00,no,delivery
