,ID,Brand,Category,Product Name ,Price,Reviewer,Review,Product Purchase,Ratings,Date Of Review,Response,tokenized_review,Polarity,Score
15,6,L-oreal-Paris,Shampoo,L'Oreal Paris Total Repair 5 Repairing Shampoo 330ml,$7.43 , Lazada Customer,the whole process took 3 weeks from the time i placed the order to now and still i have not received my items,lume (ml):330,1,19-Feb-20,no,"['whole', 'process', 'take', 'week', 'time', 'place', 'order', 'receive', 'item']",0,0
16,6,L-oreal-Paris,Shampoo,L'Oreal Paris Total Repair 5 Repairing Shampoo 330ml,$7.43 , Lazada Customer,no compensation was offered for the blunder on their part,lume (ml):330,1,19-Feb-20,no,"['compensation', 'offer', 'blunder', 'part']",-1,-1
17,6,L-oreal-Paris,Shampoo,L'Oreal Paris Total Repair 5 Repairing Shampoo 330ml,$7.43 , Lazada Customer,extremely poor service,lume (ml):330,1,19-Feb-20,no,"['poor', 'service']",-1,-1
19,8,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 330ml,$7.43 , Lazada Customer,wrong items were sent and the items had to be sent back before i can receive the ones i actually ordered,lume (ml):330,1,19-Feb-20,no,"['wrong', 'item', 'send', 'item', 'send', 'receive', 'one', 'order']",-1,-1
20,8,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 330ml,$7.43 , Lazada Customer,i was told that pick up for the return was possible on saturday only to be notified by the driver that it is not,lume (ml):330,1,19-Feb-20,no,"['tell', 'return', 'possible', 'notify', 'driver']",0,0
21,8,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 330ml,$7.43 , Lazada Customer,the whole process took 3 weeks from the time i placed the order to now and still i have not received my items,lume (ml):330,1,19-Feb-20,no,"['whole', 'process', 'take', 'week', 'time', 'place', 'order', 'receive', 'item']",0,0
22,8,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 330ml,$7.43 , Lazada Customer,no compensation was offered for the blunder on their part,lume (ml):330,1,19-Feb-20,no,"['compensation', 'offer', 'blunder', 'part']",-1,-1
23,8,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 330ml,$7.43 , Lazada Customer,extremely poor service,lume (ml):330,1,19-Feb-20,no,"['poor', 'service']",-1,-1
24,9,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , khjchm,best buy,lume (ml):650,5,19-Feb-20,yes,"['good', 'buy']",1,1
25,9,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , khjchm,thanks lorean,lume (ml):650,5,19-Feb-20,yes,['thank'],1,1
26,10,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , Ding J.,like this shampoo got it on discount price cheaper than retail,lume (ml):650,5,19-Feb-20,yes,"['get', 'discount', 'price', 'cheap', 'retail']",1,1
27,10,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , Ding J.,delivery was fat too,lume (ml):650,5,19-Feb-20,yes,"['delivery', 'fat']",-1,-1
28,11,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , Catherine L.,not suitable to my hair so can t comment more,lume (ml):650,1,19-Feb-20,no,"['suitable', 'hair', 'comment']",1,1
29,11,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , Catherine L.,lost a lot of hairs by using it,lume (ml):650,1,19-Feb-20,no,"['lose', 'lot', 'hair', 'use']",-1,-1
30,11,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , Catherine L.,changed to another japanese shampoo,lume (ml):650,1,19-Feb-20,no,"['change', 'japanese', 'shampoo']",0,0
31,11,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , Catherine L.,the hair stopped dropping immediately,lume (ml):650,1,19-Feb-20,no,"['hair', 'stop', 'drop']",0,0
32,12,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , Rosa O.,received in 2 days,lume (ml):650,5,19-Feb-20,no,"['receive', 'day']",0,0
33,12,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , Rosa O.,i think it is cheaper than buying outside,lume (ml):650,5,19-Feb-20,no,"['think', 'cheap', 'buying']",1,1
34,13,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , Calvin L.,delivery box was sturdy products look fine,lume (ml):650,5,19-Feb-20,no,"['delivery', 'box', 'sturdy', 'product', 'look', 'fine']",1,2
35,13,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , Calvin L.,everything good,lume (ml):650,5,19-Feb-20,no,['good'],1,1
36,14,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , Lazada Customer,great deal,lume (ml):650,5,19-Feb-20,no,[],0,0
41,19,L-oreal-Paris,Shampoo,L'Oreal Paris Hyaluron Moisture Mask Hyaluronic Acid 250ml,$15.90 , ALICE T.,all are good,lume (ml):250,5,19-Feb-20,no,['good'],1,1
42,19,L-oreal-Paris,Shampoo,L'Oreal Paris Hyaluron Moisture Mask Hyaluronic Acid 250ml,$15.90 , ALICE T.,good buy,lume (ml):250,5,19-Feb-20,no,"['good', 'buy']",1,1
43,20,L-oreal-Paris,Shampoo,L'Oreal Paris Hyaluron Moisture Mask Hyaluronic Acid 250ml,$15.90 , Chen S.,so glad i found it,lume (ml):250,5,19-Feb-20,no,['find'],0,0
44,20,L-oreal-Paris,Shampoo,L'Oreal Paris Hyaluron Moisture Mask Hyaluronic Acid 250ml,$15.90 , Chen S.,cant find in any shop,lume (ml):250,5,19-Feb-20,no,"['can', 'find', 'shop']",0,0
45,21,L-oreal-Paris,Shampoo,L'Oreal Paris Elseve Keratin Smooth 1 Minute Perfecting Mask,$11.18 , ALICE T.,all are good,lume (ml):200,5,19-Feb-20,no,['good'],1,1
46,21,L-oreal-Paris,Shampoo,L'Oreal Paris Elseve Keratin Smooth 1 Minute Perfecting Mask,$11.18 , ALICE T.,good buy,lume (ml):200,5,19-Feb-20,no,"['good', 'buy']",1,1
47,22,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$19.43 , Lazada Customer,really makes my hair looks silky and soft,lume (ml):500,5,19-Feb-20,yes,"['make', 'hair', 'look', 'soft']",1,1
48,22,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$19.43 , Lazada Customer,good product,lume (ml):500,5,19-Feb-20,yes,"['good', 'product']",1,1
49,23,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$19.43 , Lazada Customer,love that i dont need to use shampoo to wash my hair,lume (ml):500,5,19-Feb-20,yes,"['love', 'need', 'use', 'shampoo', 'wash', 'hair']",1,1
50,23,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$19.43 , Lazada Customer,really cleanses my hair and scalp well,lume (ml):500,5,19-Feb-20,yes,"['cleanse', 'hair']",0,0
51,24,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$19.43 , Ginfreaks,not much foam texture of the shampoo is more like conditioner,lume (ml):500,4,19-Feb-20,yes,"['much', 'foam', 'texture', 'shampoo', 'conditioner']",0,0
52,25,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$19.43 , Lazada Customer,very good product,lume (ml):500,5,19-Feb-20,no,"['good', 'product']",1,1
53,25,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$19.43 , Lazada Customer,love it,lume (ml):500,5,19-Feb-20,no,['love'],1,1
61,33,L-oreal-Paris,Shampoo,L'Oreal Paris Total Repair 5 Repairing Shampoo 650ml,$10.43 , Lazada Customer,original and authentic,lume (ml):700,5,19-Feb-20,yes,"['original', 'authentic']",1,1
62,34,L-oreal-Paris,Hair Oils,Extraordinary Oil Eclat Imperial - Pink 100ml (Smooth and High Shine) by L'Oréal Paris Elseve,$20.18 , Lazada Customer,very fast delivery received within days,lume (ml):100,5,19-Feb-20,no,"['fast', 'delivery', 'receive', 'day']",1,1
63,34,L-oreal-Paris,Hair Oils,Extraordinary Oil Eclat Imperial - Pink 100ml (Smooth and High Shine) by L'Oréal Paris Elseve,$20.18 , Lazada Customer,bought this through the review of costume here hope it s really good,lume (ml):100,5,19-Feb-20,no,"['buy', 'hope', 'good']",1,1
64,35,L-oreal-Paris,Hair Oils,Extraordinary Oil Eclat Imperial - Pink 100ml (Smooth and High Shine) by L'Oréal Paris Elseve,$20.18 , Lazada Customer,fast delivery and awesome flash deal looking forward for more sales,lume (ml):100,5,19-Feb-20,yes,"['fast', 'delivery', 'flash', 'deal', 'look', 'sale']",1,1
65,36,L-oreal-Paris,Hair Oils,Extraordinary Oil Eclat Imperial - Pink 100ml (Smooth and High Shine) by L'Oréal Paris Elseve,$20.18 , Lazada Customer,looks authentic have not open it,lume (ml):100,5,19-Feb-20,no,"['look', 'authentic', 'open']",1,1
66,36,L-oreal-Paris,Hair Oils,Extraordinary Oil Eclat Imperial - Pink 100ml (Smooth and High Shine) by L'Oréal Paris Elseve,$20.18 , Lazada Customer,bought it together with other products during lorean super day,lume (ml):100,5,19-Feb-20,no,"['buy', 'product', 'super', 'day']",1,1
67,36,L-oreal-Paris,Hair Oils,Extraordinary Oil Eclat Imperial - Pink 100ml (Smooth and High Shine) by L'Oréal Paris Elseve,$20.18 , Lazada Customer,cheap price and good packaging,lume (ml):100,5,19-Feb-20,no,"['cheap', 'price', 'good', 'packaging']",1,2
68,37,L-oreal-Paris,Hair Oils,Extraordinary Oil Eclat Imperial - Pink 100ml (Smooth and High Shine) by L'Oréal Paris Elseve,$20.18 , Marie T.,been using these for years,lume (ml):100,5,19-Feb-20,yes,"['use', 'year']",0,0
69,37,L-oreal-Paris,Hair Oils,Extraordinary Oil Eclat Imperial - Pink 100ml (Smooth and High Shine) by L'Oréal Paris Elseve,$20.18 , Marie T.,smells great not oily on the hair and nourishing,lume (ml):100,5,19-Feb-20,yes,"['smell', 'great', 'oily', 'hair', 'nourish']",1,1
71,39,L-oreal-Paris,Hair Oils,Extraordinary Oil Eclat Imperial - Pink 100ml (Smooth and High Shine) by L'Oréal Paris Elseve,$20.18 , Lazada Customer,fast delivery and wonderful product,lume (ml):100,5,19-Feb-20,no,"['fast', 'delivery', 'wonderful', 'product']",1,2
81,49,L-oreal-Paris,Hair Oils,L'Oreal Paris EverSleek Frizz Finish Serum,$16.43 , Lazada Customer,i still not sure if this is original,lume (ml):118,5,19-Feb-20,no,['original'],0,0
82,49,L-oreal-Paris,Hair Oils,L'Oreal Paris EverSleek Frizz Finish Serum,$16.43 , Lazada Customer,as the packing look too old,lume (ml):118,5,19-Feb-20,no,"['pack', 'look', 'old']",0,0
87,54,L-oreal-Paris,Hair Oils,L'Oreal Paris Extraordinary Oil Botanical Oil 100ml,$20.18 , Lazada Customer,love the oil,lume (ml):100,5,19-Feb-20,yes,"['love', 'oil']",1,1
88,54,L-oreal-Paris,Hair Oils,L'Oreal Paris Extraordinary Oil Botanical Oil 100ml,$20.18 , Lazada Customer,this product is slightly bigger than the anti fizz one i usually get,lume (ml):100,5,19-Feb-20,yes,"['product', 'big', 'anti', 'get']",0,0
89,54,L-oreal-Paris,Hair Oils,L'Oreal Paris Extraordinary Oil Botanical Oil 100ml,$20.18 , Lazada Customer,hopefully it works well too,lume (ml):100,5,19-Feb-20,yes,['work'],1,1
90,55,L-oreal-Paris,Hair Oils,L'Oreal Paris Extraordinary Oil Botanical Oil 100ml,$20.18 , Marie T.,been using these for years,lume (ml):100,5,19-Feb-20,yes,"['use', 'year']",0,0
91,55,L-oreal-Paris,Hair Oils,L'Oreal Paris Extraordinary Oil Botanical Oil 100ml,$20.18 , Marie T.,smells great not oily on the hair and nourishing,lume (ml):100,5,19-Feb-20,yes,"['smell', 'great', 'oily', 'hair', 'nourish']",1,1
92,56,L-oreal-Paris,Hair Oils,L'Oreal Paris Extraordinary Oil Botanical Oil 100ml,$20.18 , Lazada Customer,received in good condition plus a free micellar water,lume (ml):100,5,19-Feb-20,no,"['receive', 'good', 'condition', 'free', 'micellar', 'water']",1,2
93,56,L-oreal-Paris,Hair Oils,L'Oreal Paris Extraordinary Oil Botanical Oil 100ml,$20.18 , Lazada Customer,thanks seller,lume (ml):100,5,19-Feb-20,no,"['thank', 'seller']",1,1
94,56,L-oreal-Paris,Hair Oils,L'Oreal Paris Extraordinary Oil Botanical Oil 100ml,$20.18 , Lazada Customer,i will buy again,lume (ml):100,5,19-Feb-20,no,['buy'],0,0
97,59,L-oreal-Paris,Hair Oils,L'Oreal Paris Elseve Extraordinary Oil Extra-Rich 100ml,$20.18 , Lazada Customer,not yet use,lume (ml):100,5,19-Feb-20,yes,['use'],0,0
98,59,L-oreal-Paris,Hair Oils,L'Oreal Paris Elseve Extraordinary Oil Extra-Rich 100ml,$20.18 , Lazada Customer,thanks for the gifts,lume (ml):100,5,19-Feb-20,yes,"['thank', 'gift']",1,1
99,60,L-oreal-Paris,Hair Oils,L'Oreal Paris Elseve Extraordinary Oil Extra-Rich 100ml,$20.18 , Lazada Customer,authentic and good packaging,lume (ml):100,5,19-Feb-20,no,"['authentic', 'good', 'packaging']",1,2
100,60,L-oreal-Paris,Hair Oils,L'Oreal Paris Elseve Extraordinary Oil Extra-Rich 100ml,$20.18 , Lazada Customer,bought it during lorean super day price is cheap and got free gift,lume (ml):100,5,19-Feb-20,no,"['buy', 'day', 'price', 'cheap', 'get', 'free', 'gift']",1,2
101,60,L-oreal-Paris,Hair Oils,L'Oreal Paris Elseve Extraordinary Oil Extra-Rich 100ml,$20.18 , Lazada Customer,but delivery was very long guess it is because of campaign season,lume (ml):100,5,19-Feb-20,no,"['delivery', 'long', 'guess', 'campaign', 'season']",0,0
102,61,L-oreal-Paris,Hair Oils,L'Oreal Paris Elseve Extraordinary Oil Extra-Rich 100ml,$20.18 , Teresa L.,delivery very fast it is good product with good price,lume (ml):100,4,19-Feb-20,yes,"['delivery', 'fast', 'good', 'product', 'good', 'price']",1,3
111,70,L-oreal-Paris,Hair Oils,L'Oreal Paris Elseve Extraordinary Floral Oil,$20.18 , Johnna M.,received the items 3 days after i ordered it,lume (ml):100,5,19-Feb-20,yes,"['receive', 'item', 'day', 'order']",0,0
112,70,L-oreal-Paris,Hair Oils,L'Oreal Paris Elseve Extraordinary Floral Oil,$20.18 , Johnna M.,i checked the box and bottle all are in good condition,lume (ml):100,5,19-Feb-20,yes,"['check', 'good', 'condition']",1,1
113,70,L-oreal-Paris,Hair Oils,L'Oreal Paris Elseve Extraordinary Floral Oil,$20.18 , Johnna M.,thank you,lume (ml):100,5,19-Feb-20,yes,['thank'],1,1
114,70,L-oreal-Paris,Hair Oils,L'Oreal Paris Elseve Extraordinary Floral Oil,$20.18 , Johnna M.,am a first time buyer and user,lume (ml):100,5,19-Feb-20,yes,"['first', 'time', 'buyer', 'user']",0,0
115,70,L-oreal-Paris,Hair Oils,L'Oreal Paris Elseve Extraordinary Floral Oil,$20.18 , Johnna M.,the smell is really nice and it does not have the sticky feeling in the hair,lume (ml):100,5,19-Feb-20,yes,"['nice', 'sticky', 'feeling', 'hair']",0,0
116,71,L-oreal-Paris,Hair Oils,L'Oreal Paris Elseve Extraordinary Floral Oil,$20.18 , Shirley O.,like the fragrance it s not greasy at all perfect for my hair,lume (ml):100,5,19-Feb-20,yes,"['fragrance', 'greasy', 'perfect', 'hair']",0,0
117,72,L-oreal-Paris,Hair Oils,L'Oreal Paris EverPure Repair Sheet Mask,$5.18 , Lazada Customer,waited one whole week for my delivery and realised it was wrong when it arrived,lume (ml):4,1,19-Feb-20,no,"['wait', 'whole', 'week', 'delivery', 'realise', 'wrong', 'arrive']",-1,-1
118,72,L-oreal-Paris,Hair Oils,L'Oreal Paris EverPure Repair Sheet Mask,$5.18 , Lazada Customer,contacted l oral and they told me the original item was out of stock,lume (ml):4,1,19-Feb-20,no,"['tell', 'original', 'item', 'stock']",0,0
119,72,L-oreal-Paris,Hair Oils,L'Oreal Paris EverPure Repair Sheet Mask,$5.18 , Lazada Customer,could t get an explanation on why no one bothered calling to inform me that it was out of stock,lume (ml):4,1,19-Feb-20,no,"['could', 'explanation', 'bother', 'call', 'inform', 'stock']",-1,-1
120,72,L-oreal-Paris,Hair Oils,L'Oreal Paris EverPure Repair Sheet Mask,$5.18 , Lazada Customer,so in conclusion they took the liberty to send me something i did not order just to fill the order and expect me to either accept it or go through all the hassle of arranging a pickup time for a courier just to get a mere refund of 13,lume (ml):4,1,19-Feb-20,no,"['conclusion', 'take', 'liberty', 'send', 'order', 'fill', 'order', 'expect', 'accept', 'go', 'hassle', 'arrange', 'pickup', 'time', 'courier', 'mere', 'refund']",1,1
121,72,L-oreal-Paris,Hair Oils,L'Oreal Paris EverPure Repair Sheet Mask,$5.18 , Lazada Customer,50,lume (ml):4,1,19-Feb-20,no,[],0,0
122,73,L-oreal-Paris,Hair Oils,L'Oreal Paris EverPure Repair Sheet Mask,$5.18 , Lazada Customer,convenient for travel,lume (ml):4,5,19-Feb-20,yes,"['convenient', 'travel']",1,1
128,79,L-oreal-Paris,Hair Oils,L'Oreal Paris EverPure Moisture Sheet Mask,$5.18 , Ivy S.,received,lume (ml):1,5,19-Feb-20,yes,['receive'],0,0
130,81,L-oreal-Paris,Hair Oils,L'Oreal Paris Elseve Extraordinary Floral Oil,$20.18 , Lazada Customer,great item,lume (ml):100,5,19-Feb-20,yes,"['great', 'item']",1,1
131,81,L-oreal-Paris,Hair Oils,L'Oreal Paris Elseve Extraordinary Floral Oil,$20.18 , Lazada Customer,nice smell,lume (ml):100,5,19-Feb-20,yes,"['nice', 'smell']",0,0
132,82,L-oreal-Paris,Hair Oils,L'Oreal Paris Elseve Extraordinary Floral Oil,$20.18 , Lazada Customer,nice,lume (ml):100,5,19-Feb-20,no,['nice'],1,1
137,87,L-oreal-Paris,Hair Oils,L'Oreal Paris Elseve Extraordinary Floral Oil,$20.18 , Tan L.,received with free gift,lume (ml):100,5,19-Feb-20,no,"['receive', 'free', 'gift']",1,1
138,87,L-oreal-Paris,Hair Oils,L'Oreal Paris Elseve Extraordinary Floral Oil,$20.18 , Tan L.,thank you seller,lume (ml):100,5,19-Feb-20,no,"['thank', 'seller']",1,1
139,88,L-oreal-Paris,Hair Oils,L'Oreal Paris Elseve Extraordinary Floral Oil,$20.18 , cheryl A.,item out of stock but still sold on webster,lume (ml):100,1,19-Feb-20,no,"['item', 'stock', 'sell']",0,0
140,89,L-oreal-Paris,Hair Oils,L'Oreal Paris Evercreme Renourishing Butter Mask,$14.93 , Lazada Customer,wrong items were sent and the items had to be sent back before i can receive the ones i actually ordered,lume (ml):250,1,19-Feb-20,no,"['wrong', 'item', 'send', 'item', 'send', 'receive', 'one', 'order']",-1,-1
141,89,L-oreal-Paris,Hair Oils,L'Oreal Paris Evercreme Renourishing Butter Mask,$14.93 , Lazada Customer,i was told that pick up for the return was possible on saturday only to be notified by the driver that it is not,lume (ml):250,1,19-Feb-20,no,"['tell', 'return', 'possible', 'notify', 'driver']",0,0
142,89,L-oreal-Paris,Hair Oils,L'Oreal Paris Evercreme Renourishing Butter Mask,$14.93 , Lazada Customer,the whole process took 3 weeks from the time i placed the order to now and still i have not received my items,lume (ml):250,1,19-Feb-20,no,"['whole', 'process', 'take', 'week', 'time', 'place', 'order', 'receive', 'item']",0,0
143,89,L-oreal-Paris,Hair Oils,L'Oreal Paris Evercreme Renourishing Butter Mask,$14.93 , Lazada Customer,no compensation was offered for the blunder on their part,lume (ml):250,1,19-Feb-20,no,"['compensation', 'offer', 'blunder', 'part']",-1,-1
144,89,L-oreal-Paris,Hair Oils,L'Oreal Paris Evercreme Renourishing Butter Mask,$14.93 , Lazada Customer,extremely poor service,lume (ml):250,1,19-Feb-20,no,"['poor', 'service']",-1,-1
145,90,L-oreal-Paris,Hair Oils,L'Oreal Paris Ex Oil Brown Mini 30ml,$7.43 , Chen S.,received in good condition,lume (ml):30,5,19-Feb-20,no,"['receive', 'good', 'condition']",1,1
146,90,L-oreal-Paris,Hair Oils,L'Oreal Paris Ex Oil Brown Mini 30ml,$7.43 , Chen S.,have not try it yet,lume (ml):30,5,19-Feb-20,no,['try'],0,0
147,91,L-oreal-Paris,Hair Oils,L'Oreal Paris Ex Oil Red Mini 30ml,$7.43 , Candice L.,item arrived quickly and well packaged,lume (ml):30,5,19-Feb-20,yes,"['item', 'arrive', 'package']",0,0
148,92,L-oreal-Paris,Hair Oils,L'Oreal Paris Ex Oil Red Mini 30ml,$7.43 , David S.,godly,lume (ml):30,5,19-Feb-20,yes,[],0,0
149,93,L-oreal-Paris,Hair Oils,Extraordinary Oil - Gold 100ml (For All Hair Types) by L'Oréal Paris Elseve,$17.93 , Joan O.,my and bottle,lume (ml):100,5,19-Feb-20,yes,[],0,0
150,93,L-oreal-Paris,Hair Oils,Extraordinary Oil - Gold 100ml (For All Hair Types) by L'Oréal Paris Elseve,$17.93 , Joan O.,leaves my hair smooth shiny,lume (ml):100,5,19-Feb-20,yes,"['leave', 'hair', 'smooth', 'shiny']",1,2
151,93,L-oreal-Paris,Hair Oils,Extraordinary Oil - Gold 100ml (For All Hair Types) by L'Oréal Paris Elseve,$17.93 , Joan O.,also my heavily dyed hair does t turn into hay so quickly,lume (ml):100,5,19-Feb-20,yes,"['dyed', 'hair', 'turn', 'hay']",0,0
152,93,L-oreal-Paris,Hair Oils,Extraordinary Oil - Gold 100ml (For All Hair Types) by L'Oréal Paris Elseve,$17.93 , Joan O.,so i try to apply this a few times a day,lume (ml):100,5,19-Feb-20,yes,"['try', 'apply', 'time', 'day']",0,0
153,94,L-oreal-Paris,Hair Oils,Extraordinary Oil - Gold 100ml (For All Hair Types) by L'Oréal Paris Elseve,$17.93 , Alif H.,item came well packed,lume (ml):100,5,19-Feb-20,yes,"['item', 'come', 'packed']",0,0
154,94,L-oreal-Paris,Hair Oils,Extraordinary Oil - Gold 100ml (For All Hair Types) by L'Oréal Paris Elseve,$17.93 , Alif H.,fast delivery,lume (ml):100,5,19-Feb-20,yes,"['fast', 'delivery']",1,1
155,94,L-oreal-Paris,Hair Oils,Extraordinary Oil - Gold 100ml (For All Hair Types) by L'Oréal Paris Elseve,$17.93 , Alif H.,seller ever included free gift,lume (ml):100,5,19-Feb-20,yes,"['seller', 'include', 'free', 'gift']",1,1
156,94,L-oreal-Paris,Hair Oils,Extraordinary Oil - Gold 100ml (For All Hair Types) by L'Oréal Paris Elseve,$17.93 , Alif H.,thank you so much,lume (ml):100,5,19-Feb-20,yes,"['thank', 'much']",1,2
157,95,L-oreal-Paris,Hair Oils,Extraordinary Oil - Gold 100ml (For All Hair Types) by L'Oréal Paris Elseve,$17.93 , Lazada Customer,fast delivery,lume (ml):100,5,19-Feb-20,no,"['fast', 'delivery']",1,1
158,95,L-oreal-Paris,Hair Oils,Extraordinary Oil - Gold 100ml (For All Hair Types) by L'Oréal Paris Elseve,$17.93 , Lazada Customer,ordered on 1 oct received on 3 oct,lume (ml):100,5,19-Feb-20,no,"['order', 'receive']",0,0
